Id,SepalLengthCm,SepalWidthCm,RandomColumn,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,0.3675367916063713,1.4,0.2,Iris-setosa
2,4.9,3.0,0.35386631106748256,1.4,0.2,Iris-setosa
3,4.7,3.2,0.338589844042105,1.3,0.2,Iris-setosa
4,4.6,3.1,0.8222225495626136,1.5,0.2,Iris-setosa
5,5.0,3.6,0.5040464374453957,1.4,0.2,Iris-setosa
6,5.4,3.9,0.41369444558166446,1.7,0.4,Iris-setosa
7,4.6,3.4,0.23437067209768803,1.4,0.3,Iris-setosa
8,5.0,3.4,0.8498150808953114,1.5,0.2,Iris-setosa
9,4.4,2.9,0.7300184934987293,1.4,0.2,Iris-setosa
10,4.9,3.1,0.6434532151173741,1.5,0.1,Iris-setosa
11,5.4,3.7,0.7141275460673607,1.5,0.2,Iris-setosa
12,4.8,3.4,0.6631333197792183,1.6,0.2,Iris-setosa
13,4.8,3.0,0.7441832723027472,1.4,0.1,Iris-setosa
14,4.3,3.0,0.7948759831233093,1.1,0.1,Iris-setosa
15,5.8,4.0,0.4796739620619632,1.2,0.2,Iris-setosa
16,5.7,4.4,0.3898378847202285,1.5,0.4,Iris-setosa
17,5.4,3.9,0.423586827210645,1.3,0.4,Iris-setosa
18,5.1,3.5,0.5077265252805392,1.4,0.3,Iris-setosa
19,5.7,3.8,0.7433844326740573,1.7,0.3,Iris-setosa
20,5.1,3.8,0.6481532998549828,1.5,0.3,Iris-setosa
21,5.4,3.4,0.20319609224056823,1.7,0.2,Iris-setosa
22,5.1,3.7,0.2787888454389408,1.5,0.4,Iris-setosa
23,4.6,3.6,0.40432444077791807,1.0,0.2,Iris-setosa
24,5.1,3.3,0.5251230782192355,1.7,0.5,Iris-setosa
25,4.8,3.4,0.7986482427650934,1.9,0.2,Iris-setosa
26,5.0,3.0,0.8094950766526549,1.6,0.2,Iris-setosa
27,5.0,3.4,0.07417476379521781,1.6,0.4,Iris-setosa
28,5.2,3.5,0.39472047430232904,1.5,0.2,Iris-setosa
29,5.2,3.4,0.2253278014058009,1.4,0.2,Iris-setosa
30,4.7,3.2,0.9556008482032994,1.6,0.2,Iris-setosa
31,4.8,3.1,0.952765625902483,1.6,0.2,Iris-setosa
32,5.4,3.4,0.8838731532748415,1.5,0.4,Iris-setosa
33,5.2,4.1,0.18256645699741192,1.5,0.1,Iris-setosa
34,5.5,4.2,0.3848792169305666,1.4,0.2,Iris-setosa
35,4.9,3.1,0.05182184063614248,1.5,0.1,Iris-setosa
36,5.0,3.2,0.746196787113805,1.2,0.2,Iris-setosa
37,5.5,3.5,0.813840588088863,1.3,0.2,Iris-setosa
38,4.9,3.1,0.45181142410405795,1.5,0.1,Iris-setosa
39,4.4,3.0,0.6284261758118294,1.3,0.2,Iris-setosa
40,5.1,3.4,0.810419532144495,1.5,0.2,Iris-setosa
41,5.0,3.5,0.7314811161923133,1.3,0.3,Iris-setosa
42,4.5,2.3,0.2516084706368127,1.3,0.3,Iris-setosa
43,4.4,3.2,0.9798885810241332,1.3,0.2,Iris-setosa
44,5.0,3.5,0.5968276863840394,1.6,0.6,Iris-setosa
45,5.1,3.8,0.7394829988553416,1.9,0.4,Iris-setosa
46,4.8,3.0,0.35363554387471907,1.4,0.3,Iris-setosa
47,5.1,3.8,0.9140728217501112,1.6,0.2,Iris-setosa
48,4.6,3.2,0.8566846542264152,1.4,0.2,Iris-setosa
49,5.3,3.7,0.04715831181507435,1.5,0.2,Iris-setosa
50,5.0,3.3,0.5753498035538642,1.4,0.2,Iris-setosa
51,7.0,3.2,0.662251720252506,4.7,1.4,Iris-versicolor
52,6.4,3.2,0.4546592534060878,4.5,1.5,Iris-versicolor
53,6.9,3.1,0.1939960014759925,4.9,1.5,Iris-versicolor
54,5.5,2.3,0.5463085119102904,4.0,1.3,Iris-versicolor
55,6.5,2.8,0.12733024842637408,4.6,1.5,Iris-versicolor
56,5.7,2.8,0.5989663489621867,4.5,1.3,Iris-versicolor
57,6.3,3.3,0.045335848823004454,4.7,1.6,Iris-versicolor
58,4.9,2.4,0.24108646339509998,3.3,1.0,Iris-versicolor
59,6.6,2.9,0.7842570009782691,4.6,1.3,Iris-versicolor
60,5.2,2.7,0.6108391633354471,3.9,1.4,Iris-versicolor
61,5.0,2.0,0.4991943711601028,3.5,1.0,Iris-versicolor
62,5.9,3.0,0.9905205316180519,4.2,1.5,Iris-versicolor
63,6.0,2.2,0.14507755882207662,4.0,1.0,Iris-versicolor
64,6.1,2.9,0.9313416460277141,4.7,1.4,Iris-versicolor
65,5.6,2.9,0.0351488263284665,3.6,1.3,Iris-versicolor
66,6.7,3.1,0.5390183258906021,4.4,1.4,Iris-versicolor
67,5.6,3.0,0.4894897457625126,4.5,1.5,Iris-versicolor
68,5.8,2.7,0.8021713681148073,4.1,1.0,Iris-versicolor
69,6.2,2.2,0.9164240119106036,4.5,1.5,Iris-versicolor
70,5.6,2.5,0.16196777591797018,3.9,1.1,Iris-versicolor
71,5.9,3.2,0.16294436844481108,4.8,1.8,Iris-versicolor
72,6.1,2.8,0.8740652700000987,4.0,1.3,Iris-versicolor
73,6.3,2.5,0.21477875170131022,4.9,1.5,Iris-versicolor
74,6.1,2.8,0.7475149652628004,4.7,1.2,Iris-versicolor
75,6.4,2.9,0.20668237138364232,4.3,1.3,Iris-versicolor
76,6.6,3.0,0.11411982361791673,4.4,1.4,Iris-versicolor
77,6.8,2.8,0.75030648372762,4.8,1.4,Iris-versicolor
78,6.7,3.0,0.9842925354695865,5.0,1.7,Iris-versicolor
79,6.0,2.9,0.26239669768166607,4.5,1.5,Iris-versicolor
80,5.7,2.6,0.27284294794546204,3.5,1.0,Iris-versicolor
81,5.5,2.4,0.25381471574625847,3.8,1.1,Iris-versicolor
82,5.5,2.4,0.7475961315508544,3.7,1.0,Iris-versicolor
83,5.8,2.7,0.5801708126058843,3.9,1.2,Iris-versicolor
84,6.0,2.7,0.22063239916159794,5.1,1.6,Iris-versicolor
85,5.4,3.0,0.11641415553814372,4.5,1.5,Iris-versicolor
86,6.0,3.4,0.05775895142727483,4.5,1.6,Iris-versicolor
87,6.7,3.1,0.41712705571821873,4.7,1.5,Iris-versicolor
88,6.3,2.3,0.41070198112587963,4.4,1.3,Iris-versicolor
89,5.6,3.0,0.03913870701128075,4.1,1.3,Iris-versicolor
90,5.5,2.5,0.6603180350221904,4.0,1.3,Iris-versicolor
91,5.5,2.6,0.528822719307438,4.4,1.2,Iris-versicolor
92,6.1,3.0,0.479587516643332,4.6,1.4,Iris-versicolor
93,5.8,2.6,0.17586534383104813,4.0,1.2,Iris-versicolor
94,5.0,2.3,0.7397565845565867,3.3,1.0,Iris-versicolor
95,5.6,2.7,0.2972958365474466,4.2,1.3,Iris-versicolor
96,5.7,3.0,0.19075387491706963,4.2,1.2,Iris-versicolor
97,5.7,2.9,0.009668183988951973,4.2,1.3,Iris-versicolor
98,6.2,2.9,0.3134405816261121,4.3,1.3,Iris-versicolor
99,5.1,2.5,0.5580823793953312,3.0,1.1,Iris-versicolor
100,5.7,2.8,0.7851603306221611,4.1,1.3,Iris-versicolor
101,6.3,3.3,0.48801289170126505,6.0,2.5,Iris-virginica
102,5.8,2.7,0.17266012407377118,5.1,1.9,Iris-virginica
103,7.1,3.0,0.21523234569653804,5.9,2.1,Iris-virginica
104,6.3,2.9,0.9705720025367579,5.6,1.8,Iris-virginica
105,6.5,3.0,0.3470489274723906,5.8,2.2,Iris-virginica
106,7.6,3.0,0.21096415700480187,6.6,2.1,Iris-virginica
107,4.9,2.5,0.9147627810577876,4.5,1.7,Iris-virginica
108,7.3,2.9,0.47912375092590986,6.3,1.8,Iris-virginica
109,6.7,2.5,0.23365658650416155,5.8,1.8,Iris-virginica
110,7.2,3.6,0.9247295332309015,6.1,2.5,Iris-virginica
111,6.5,3.2,0.23480165580270618,5.1,2.0,Iris-virginica
112,6.4,2.7,0.20442145223371821,5.3,1.9,Iris-virginica
113,6.8,3.0,0.2178797905099692,5.5,2.1,Iris-virginica
114,5.7,2.5,0.9842426215679391,5.0,2.0,Iris-virginica
115,5.8,2.8,0.1494373226042618,5.1,2.4,Iris-virginica
116,6.4,3.2,0.028332691591847703,5.3,2.3,Iris-virginica
117,6.5,3.0,0.6010720488898537,5.5,1.8,Iris-virginica
118,7.7,3.8,0.14628326662244573,6.7,2.2,Iris-virginica
119,7.7,2.6,0.16894070455776689,6.9,2.3,Iris-virginica
120,6.0,2.2,0.8486214966462052,5.0,1.5,Iris-virginica
121,6.9,3.2,0.21702092919103444,5.7,2.3,Iris-virginica
122,5.6,2.8,0.5402274586572827,4.9,2.0,Iris-virginica
123,7.7,2.8,0.6835810740487865,6.7,2.0,Iris-virginica
124,6.3,2.7,0.16737149167700816,4.9,1.8,Iris-virginica
125,6.7,3.3,0.6721993984467785,5.7,2.1,Iris-virginica
126,7.2,3.2,0.7227801400124936,6.0,1.8,Iris-virginica
127,6.2,2.8,0.5808064852671084,4.8,1.8,Iris-virginica
128,6.1,3.0,0.14135063553525518,4.9,1.8,Iris-virginica
129,6.4,2.8,0.6062429081609761,5.6,2.1,Iris-virginica
130,7.2,3.0,0.8779537944912837,5.8,1.6,Iris-virginica
131,7.4,2.8,0.3607848041993492,6.1,1.9,Iris-virginica
132,7.9,3.8,0.9764651029039378,6.4,2.0,Iris-virginica
133,6.4,2.8,0.17261669272068136,5.6,2.2,Iris-virginica
134,6.3,2.8,0.0026542902927759737,5.1,1.5,Iris-virginica
135,6.1,2.6,0.04576803308902444,5.6,1.4,Iris-virginica
136,7.7,3.0,0.9608840368594876,6.1,2.3,Iris-virginica
137,6.3,3.4,0.5180219248183066,5.6,2.4,Iris-virginica
138,6.4,3.1,0.6456350696209522,5.5,1.8,Iris-virginica
139,6.0,3.0,0.6528895981212113,4.8,1.8,Iris-virginica
140,6.9,3.1,0.9488325121844259,5.4,2.1,Iris-virginica
141,6.7,3.1,0.4316375826996257,5.6,2.4,Iris-virginica
142,6.9,3.1,0.17529255089755735,5.1,2.3,Iris-virginica
143,5.8,2.7,0.2154194684771812,5.1,1.9,Iris-virginica
144,6.8,3.2,0.3001757581128921,5.9,2.3,Iris-virginica
145,6.7,3.3,0.9164014623726436,5.7,2.5,Iris-virginica
146,6.7,3.0,0.7026137555445529,5.2,2.3,Iris-virginica
147,6.3,2.5,0.3155635123002136,5.0,1.9,Iris-virginica
148,6.5,3.0,0.03210561074612561,5.2,2.0,Iris-virginica
149,6.2,3.4,0.35362470362469967,5.4,2.3,Iris-virginica
150,5.9,3.0,0.8800011287943336,5.1,1.8,Iris-virginica
